2020-01-27 18:50,209
2020-01-27 18:51,305
2020-01-27 18:52,250
2020-01-27 18:53,343
2020-01-27 18:54,161
2020-01-27 18:55,156
2020-01-27 18:56,274
2020-01-27 18:57,168
2020-01-27 18:58,51
2020-01-27 18:59,399
2020-01-27 19:00,515
2020-01-27 19:01,1185
2020-01-27 19:02,821
2020-01-27 19:03,587
2020-01-27 19:04,382
2020-01-27 19:05,73
2020-01-27 19:09,1
2020-01-27 19:10,225
2020-01-27 19:11,402
2020-01-27 19:12,188
2020-01-27 19:13,662
2020-01-27 19:14,1298
2020-01-27 19:15,1346
2020-01-27 19:16,623
2020-01-27 19:17,1178
2020-01-27 19:18,194
2020-01-27 19:20,136
2020-01-27 19:21,170
2020-01-27 19:22,193
2020-01-27 19:23,518
2020-01-27 19:24,241
2020-01-27 19:25,144
2020-01-27 19:26,332
2020-01-27 19:27,77
2020-01-27 19:28,273
2020-01-27 19:29,120
2020-01-27 19:30,576
2020-01-27 19:31,1568
2020-01-27 19:32,1892
2020-01-27 19:33,566
2020-01-27 19:34,573
2020-01-27 19:35,425
